Topic,Count,Name,Representation,Representative_Docs
-1,151,-1_remuneration_dividend_audit_role,"['remuneration', 'dividend', 'audit', 'role', 'opportunity', 'appointment', 'industry', 'transaction', 'community', 'cost']","['summary stakeholder consultation influence shaping policy activity social action security personnel protect site applicable aspect human right policy child labor environmental issue allow balance business objective commitment stakeholder society discrimination harassment working condition cover mandatory training environment employee worker principle clear employment status protection young person freedom forced labour grievance process work environment freedom provide detail instance engagement action take address concern marginalize training provide employee contractor manufacture facility basis stakeholder action operation bring major benefit improvement individual community believe responsibility bring endure positive value community work line society want contribute sustainable development work support delivery core theme move continue build endure engage relationship key recognize importance transition envisage stakeholder mobility sector deliver decent work quality job support livelihood local community effort direct mechanic truck driver play significant role keep aim advocate policy support net include encourage use finance revenue wheel sector move truck driver carry freight traffic country mechanic service carbon pricing support transition deliver purpose continue work consistent high large automotive market world skill livelihood opportunity socio economic set standard operate world instance right need condition need focus committed make positive impact life truck driver support challenge help positive sustainable difference people life policy mechanic prepare face today reality leverage tomorrow opportunity document link detail place truck driver mechanic benefit program contribute overall empowerment community enable earn sustainable livelihood live pride key motto program detail minimum wage pay employee worker follow format contract logistic operate truck daily basis employ truck driver vision improve driver safety wellbeing work partner engage train support driver stay safe road program calendar previous calendar risk base training course road safety organize equal improve safety mindset safe driving behavior category', 'follow major criterion apply performance approval payment statutory auditor evaluation service render statutory auditor attendance contribution eviewing management application expertise auditor thereon leadership quality knowledge submission approval strategic direction enhance value particular reference ability create performance culture matter require include drive value creation high quality debate responsibility robust probe discussion include term clause sub ability monitor performance management satisfy integrity change accounting policy control system place practice reason performance evaluate major accounting entry involve estimate base help bring independent base exercise judgment judgment bear deliberation management issue strategy performance risk management resource key appointment significant adjustment standard conduct ability bring arise audit finding objective view evaluation performance compliance listing legal management requirement relate seek appointment appointment disclosure related party transaction detail seek appointment draft audit appointment form review management quarterly submission approval eviewing management set carry us application fund raise define role consider perform issue public issue right issue preferential issue member good governance fund utilize purpose practice minute proceeding state offer document circulate place prospectus notice submit note monitoring agency monitor utilisation establish follow proceed public right issue make appropriate recommendation step matter member wide exposure knowledge area finance accounting review monitor auditor term reference independence performance draw line sebi list effectiveness audit process pproval subsequent modification provide reassurance transaction list entity related party existence effective internal scrutiny inter corporate loan investment control environment valuation undertaking asset list term reference entity necessary describe evaluation internal control risk versight reporting management system process disclosure review management performance information ensure statutory internal auditor adequacy correct sufficient credible internal control system recommendation appointment remuneration eviewe adequacy internal audit function term appointment auditor include structure internal audit department staffing seniority official', 'communication purpose scope communication purpose scope engagement engagement identify engagement include identify engagement include key topic concern key topic concern raise raise engagement engagement specify specify information disseminate stock community half- road safety exchange website truck driver system engagement training newspaper publication mechanic discussion need base upskilling applicable family mechanic quarterly member workshop presentation beneficiary volunteering wellbee session plant program inancial roceeding outcome community program digital literacy general train chedule connect meet recording price session earn call application need rder placement indirect customer base customer visibility train customer portal direct scheme ehavior change customer distributor offer program order community placement area customer operation relevant customer relate information provide process consultation stakeholder economic environmental social topic consultation delegate feedback consultation provide business face face engagement half- agreement stakeholder consultation play critical role identify address economic environmental social session elationship concern stakeholder engage consider understand broad environmental social governance need base context operate associated risk government following applicable half- regulatory department deal respective stakeholder collect feedback issue delegate regulatory prevail law yearly department engage form stakeholder consultation involve survey focus public body ubmission need base consultation individual general online engagement purpose gather thought return opinion concern topic relate organization operation impact economy environment circular society key point concern suggestion raise consultation document analyze communication understand concern stakeholder potential impact possible response regular summarize exchange filing feedback consultation analysis submit review association guidance review pass management execution stakeholder consultation support identification management environmental social topic provide detail instance input receive stakeholder topic policy activity entity stakeholder consultation support identification management environmental social topic consultation play instrumental role help understand concern expectation potential impact operation process critical evolve policy activity inclusive growth sustainable development engage consultation stakeholder variety way regular need study impact assessment undertake integral commitment community include continuous update technical module base feedback local community pace external technological advancement strive maintain ongoing dialogue community stakeholder ensure service remain relevant beneficial pandemic interaction implement intervention cater enhance health wellbee community member creation process reflect dedication stakeholder need evolve challenge']"
0,46,0_crore_tax_net_liability,"['crore', 'tax', 'net', 'liability', 'cash', 'balance', 'contract', 'income', 'expense', 'crore crore']","['cash flow crore crore cash flow operating activity profit tax adjustment depreciation amortization expense oss disposal write property plant equipment intangible asset net capital work progress write allowance doubtful debt write net recognise respect share base payment gain fair valuation forward contract unrealized foreign exchange gain loss gain cost interest income net gain termination lease contract accrual write operating profit work capital change movement work capital decrease increase inventory decrease trade receivables increase decrease trade payable provision generate operation tax refund payment net include interest net cash flow operating activity flow investing activity urchase property plant equipment include capital work progress intangible asset bank deposit bank deposit interest receive net cash flow investing activity', 'note asset investment crore 63,355.00 asset carry amortize cost crore loan receivables cash cash equivalent balance bank asset invest quarter tranche crore invest second tranche crore invest income tax asset crore crore income tax tax deduct source net current tax provision deferred tax asset crore crore defer tax asset net', 'note deferred tax asset defer tax asset balance crore net balance recognise recognise defer profit tax loss liability deferred tax asset liability property plant equipment disallowance allowance doubtful debt temporary difference defer tax asset liability defer tax balance net balance recognise recognise defer profit tax loss liability deferred tax asset liability property plant equipment disallowance obsolete doubtful debt temporary difference deferred tax asset liability major component income tax expense crore current tax net reversal early crore crore defer tax']"
1,38,1_worker_training_employee worker_calendar,"['worker', 'training', 'employee worker', 'calendar', 'awareness', 'health', 'permanent', 'previous', 'development', 'previous calendar']","['commit provide safe positive work environment order achieve employee access measure employee worker include permanent permanent helpline platform name worldwide helpline employee raise question concern following format ethic compliance code conduct dedicated channel manage separate firm accessible hour day day week handle call language current calendar previous calendar phone internet place allow employee contact employee worker raise concern respective line manager business head department thorough cost incur wellbee measure total revenue inquiry procedure assure fairness party concern include ability submit fact relevant evidence membership employee worker recognize list entity detail retirement benefit calendar previous calendar calendar previous calendar .on worker worker benefit employee employee employee employee cover deposit deposit worker worker cover cover category employee employee total authority total authority respective respective total total worker worker worker worker category category employee employee respective respective category category gratuity accessibility workplace premise office entity accessible able employee worker requirement right step take entity regard female premise office accessible able employee worker requirement detail training give employee worker ensure new office compliant regulatory requirement set precedent disability friendliness inclusivity premise commitment diversity current calendar previous calendar continue explore comprehensive approach incorporate regulatory requirement upcoming office premise', 'total number aim help entity demonstrate performance integrate key training person respective topic principle process decision information seek categorize leadership essential indicator awareness category cover cover training impact expect disclose entity mandate file leadership indicator programme awareness disclose entity aspire progress high level quest hold programme responsible environment training focus industry specific environmental topic available employee business conduct govern integrity manner learn platform governance platform offer training program awareness campaign leadership talk aim reinforce individual collective percentage coverage training awareness programme principle compliance effort cybersecurity training provide primary focus utilize workforce skill capability target talent development effort ensure employee inform essential online initiative design empower employee pursue personal professional objective align safety measure organization strategy individual career aspiration offer variety training leadership week employee development programme employee include skill competency development initiative leadership encourage allocate time enhance learning enhancement session training relate diversity safety health wellness offer learn platform total number house training awareness session health training person respective topic principle safety cybersecurity segment awareness category cover cover training impact conduct worker train programme awareness regard scope work organize enhance hold programme technical skill update detail fine penalty compound settlement pay proceeding entity law enforcement agency judicial institution follow update format note entity disclosure basis materiality specify sebi list regulation disclose entity website update insead leadership program regulatory/ appeal prefer commercial business awareness principle case judicial institution employee new personalised learning platform training employee ownership career include development platform contain resource mandatory include training program awareness campaign compounding fee voluntary leadership talk learn content address topic course code conduct ethic compliance cyber security applicable help employee enhance technical skill regulatory/ awareness compliance requirement appeal enforcement business week employee encourage case prefer judicial institution function dedicate time enhance learning addition training training relate environment diversity safety health wellness available employee learn platform relate training instance disclose detail prefer case monetary noncybersecurity awareness session conduct provide monetary action appeal health worker regular interval safety employee training provide emphasis follow aspect case judicial institution platform cover topic include ethic compliance help employee enhance awareness compliance entity anti corruption anti bribery policy provide detail brief available provide webrequirement health safety relate link policy training awareness session carry employee worker addition curate rule regulation adopt legal statutory framework antilearning small cultural framework corruption anti bribery legislation prevalent policy reflect commitment focus psychological safety bias work management maintain high ethical standard undertake open fair business practice implement appropriate system identify prevent bribery corrupt business practice', 'people functional capability key element investment people current calendar previous calendar emphasis employee engagement build line manager employee capability training cover range key people process robust talent management session conduct focus person hour work manager have talent conversation team eligible employee capture development need structure format follow talent conversation line manager total recordable work relate injury health safety management system worker fatality occupational health safety management system implement entity yes/ coverage system worker central business activity key enabler business strategy high consequence work relate injury ill health commit goal accident injury people damage environment expect exclude fatality worker employee worker safety leader management system encompass describe measure take entity ensure safe healthy workplace employee worker contractor service provider work manufacturing facility office implement global believe provide safe supportive friendly workplace environment workplace value improve delivery operation safe responsible reliable help come life support behavior positive workplace environment great employee experience integral key element operation plant part culture road safety continue priority professional driver drive business aim provide safe comfortable work environment office plant undergo rigorous defensive driver training road safety relate incident minor provide preventive health check employee investigate attempt learn adopt improvement new employee permanent contractual core component diversity inclusion ambition agile working encompass wide range undergo training onboarding month join work option enable employee work potential time working work home flexible process identify work relate hazard assess risk routine non routine basis hour option grant initiative entity manufacture plant certify critical focus area conduct standard routine activity plant certify manufacturing plant non routine activity monitor procedure plant win award strong system category risk management process risk assurance tool identify mitigate risk leadership team maintain high standard occupational review business safety performance monthly basis process worker work relate hazard remove risk policy roll process develop implement accordance reporting work relate hazard provide guidance process raise grievance methodology recourse redressal employee worker aim prevent risk process include grievance policy base instance risk document deal act commit woman follow policy reporting tool gender worker guide follow safety observation miss incident investigate prevent injury illness office plant establish provide forum reporting work relate hazard follow principle alignment principle employee contractor visitor authorize stop work activity deem unsafe']"
2,36,2_internal control_audit_opinion_reporting,"['internal control', 'audit', 'opinion', 'reporting', 'control reporting', 'assurance', 'book', 'effectiveness', 'obtain', 'reasonable']","['inherent limitation internal control reporting include possibility collusion improper management override control material misstatement error fraud occur detect projection evaluation internal control reporting future period subject risk internal control reporting inadequate change condition degree compliance policy procedure deteriorate opinion opinion good information accord explanation give material respect adequate internal control system reporting internal control reporting operate base criterion internal control reporting establish consider essential component internal control state issue firm w-100018 .on udin bgyjaq', 'responsibility examine procedure implementation adopt ensure compliance condition audit expression opinion examine book account relevant record document maintain purpose provide reasonable assurance compliance requirement carry examination relevant record accordance issue specify applicable purpose certificate issue require comply ethical requirement issue comply relevant applicable requirement opinion base examination relevant record accord information explanation provide representation provide certify comply condition stipulate regulation clause regulation para schedule state compliance assurance future viability efficiency effectiveness conduct affair firm .on udin bgyjap place', 'responsibility express opinion internal control reporting base audit conduct audit accordance note issue prescribe extent applicable audit internal control require comply ethical requirement plan perform audit obtain reasonable assurance adequate internal control reporting establish maintain control operate material respect audit involve perform procedure obtain audit evidence adequacy internal control system reporting operating effectiveness audit internal control reporting include obtain understanding internal control reporting assess risk material weakness exist test evaluate design operating effectiveness internal control base assess risk procedure select depend auditor judgement include assessment risk material misstatement fraud error believe audit evidence obtain sufficient appropriate provide basis audit opinion internal control system reporting']"
3,25,3_waste_water_plastic_emission,"['waste', 'water', 'plastic', 'emission', 'treatment', 'consumption', 'packaging', 'energy', 'intensity', 'reduce']","['detail greenhouse gas emission emission intensity emission break pfc available emission break pfc available emission rupee turnover emission intensity liter production datum plant include office note indicate independent assessment evaluation assurance carry external agency external agency project relate reduce fuel change natural gas manufacture plant heat product portfolio optimize use energy blend certain formulation impact product quality look avenue reduce emission come detail relate waste management waste waste bio medical waste liquid)-hw contain liquid)-hw waste radioactive waste hazardous waste specify non hazardous waste generate specify break composition material relevant sector a+b category waste generate total waste recover recycling recovery operation metric ton recycle recovery operation category waste generate total waste dispose nature disposal method metric ton category waste andfilling incineration spend independent assessment evaluation assurance carry external agency external agency', 'provide detail relate waste management entity following format entity operation office sensitive area national park wildlife sanctuary biosphere reserve wetland biodiversity hotspot forest coastal regulation zone environmental approval clearance require specify detail following format calendar previous calendar condition environmental approval generate metric ton location operation clearance comply reason office plastic waste corrective action take waste manufacturing facility office locate plan sensitive area bio medical waste detail environmental impact assessment project undertake entity base applicable law current demolition waste waste conduct result communicate radioactive waste brief independent external public domain detail project web link hazardous waste -exclude waste biomedical waste ycnega non hazardous waste generate exclude plastic waste applicable project carry sensitive area total a+b entity compliant applicable environmental guideline intensity rupee protection rule thereunder total waste generate operation turnover provide detail non compliance following format intensity rupee turnover adjust compliance applicable environmental rule regulation verification compliance conduct audit total waste generate revenue operation adjust specify law regulation fine penalty action take intensity term physical output provide detail action guideline regulatory agency intensity relevant metric select non compliance take comply pollution control court entity non compliance note category waste generate total waste recover recycling recovery operation metric ton waste water withdrawal consumption discharge area water stress kilo liters):- applicable recycle facility plant locate area water stress provide follow information area recovery operation nature operation category waste generate total waste dispose withdrawal consumption discharge following format nature disposal method metric ton waste calendar previous calendar withdrawal source kilolitre water incineration party water', 'parameter schedule monitoring stack monitoring emission generate provide following detail relate water discharge set compliance regulatory requirement audit management system verify certify party agency calendar previous calendar provide detail greenhouse gas emission emission intensity following format water discharge destination level treatment kilo liter calendar previous calendar treatment break metric ton emission treatment specify level treatment pfc available equivalent emission break metric ton treatment pfc available equivalent treatment specify level treatment emission metric ton equivalent treatment metric ton emission intensity rupee emission turnover treatment specify level treatment revenue operation send party turnover treatment specify level treatment send emission intensity rupee cetp treatment turnover adjust emission revenue treatment operation adjust treatment tertiary treatment emission intensity term total water discharge kilo liter physical output emission intensity metric ton note indicate independent evaluation assurance carry external agency relevant metric select external agency entity water treatment scheme disposal datum water save measure implement benefit achieve kilolitre audit management system verify certify party agency note indicate independent evaluation assurance carry external agency entity implement mechanism provide detail coverage implementation external agency work reduce freshwater consumption manufacturing facility initiative entity project relate reduce emission provide detail system water efficient tap implement facility water balance flow chart monitor freshwater usage identify conservation measure water audits conduct plant outcome work reduce emission process improvement energy monitoring share plant implementation system energy efficiency measure renewable alternative installation photovoltaic plant premise purchase renewable energy different option study respective plant location key fresh water domestic boiler operation boiler blowdown water minimal action implement list quantity send cetp treatment domestic wastewater treat inhouse sewage treatment plant treat water garden plant premise plant operate plant replace diesel pip natural gas facility emission plant uses natural gas heating fuel plant send wastewater cetp treatment scope ilvassa plant installation ground solar photovoltaic system emission progress expect operational provide detail air emission emission entity following format plant facility purchase green energy operation specify aharpur plant rooftop solar photovoltaic system operation unit current calendar previous calendar provision procurement corporate office purchase green power sustain operation improvement measure undertake manufacture operation result matter consistent energy efficiency particulate matter initiate process monitor logistic scope emission persistent organic pollutant emission volatile organic compound air pollutant indicate independent evaluation assurance carry external agency external agency']"
4,22,4_mechanic_vehicle_oil_lubricant,"['mechanic', 'vehicle', 'oil', 'lubricant', 'car', 'growth', 'brand', 'community', 'help', 'wheeler']","['enter strategic electric vehicle adoption gain momentum collaboration collaborate lead indian player independent automobile explore mobility solution electric car aftermarket business leverage strength partnership expand country automotive aftermarket explore set wheeler charge infrastructure ecosystem integrate multi- expand exist network cater brand service platform wheeler acquire stake investment strategic investment expand presence service maintenance internal combustion engine electric vehicle leverage digital strategic partnership aim strengthen charging operational capability alliance offer infrastructure accelerate adoption potential collaborate partner benefit stakeholder value chain select market vehicle owner benefit strategic alliance lubricant easy access differentiated enable service maintenance offer platform shipping market upward trajectory reach include customer strong garage online offline digital platform containership bulker market firm demand offer quality standardized cost effective severe congestion provide notable support service part customer own outlet franchise network home service market show positive outlook roadside assistance drive security supply worry high oil price good offshore rig commission market show high level utilization good service wheeler strong offshore activity demand station offer quick bike health check offshore supply vessel improve engine oil change consumer expand indirect channel partner grow business domestic marine sector include offshore supply vessel fishing dredging supply specialist water base control fluid critical oil operation industrial lubricant work customer aid learn training seminar enter new segment launch bespoke performance lubricant industry sector textile help strengthen position sector plant receive certification enhance opportunity work textile machinery manufacturer castrol offer wheeler consumer convenient swift reliable oil change service available mobility station', 'electrification mobility landscape evolve wise performance grow electric vehicle market lead personal automotive lubricant mobility mile commercial transit connectivity market grow long term demand personal mobility launch new multimedia internal combustion engine ice stay campaign leverage mainline digital platform require transmission fluid grease coolant bring alive thought position cater segment campaign objective drive preference explore new business opportunity strengthen brand premium segment exist business launch recycled bottle range aim reduce plastic footprint passenger car oil award product product innovation category base consumer voting launch new campaign highlight reduce sound vibration vehicle continue association portal drive brand consideration content integration drive brand salience castrol new range fluid cater commercial vehicle oil build large scale awareness aftermarket available campaign launch second involve degree deployment initiative campaign lead strong ground ensure independent auto mechanic activity reach consumer influencer leave transition invest focus market training car bike mechanic unique readiness training endorse endeavor strengthen play space expand network car bike mechanic train workshop tier training expand certify car workshop presence city city launch kind readiness car workshop offer promise training program independent bike car mechanic trust product reliable service car owner training certify', 'large finished lubricant market demand driver account global demand automotive sector contribute flat volumetric global lubricant industry gdp manufacture gdp see market immense potential lubricant demand automotive lubricant stem growth lubricant market operate broad grow demand vehicle turn fuel segment rapid infrastructure development rise income level segment include player widen middle class aspiration international oil major local easy access finance automotive lubrication span category technological advancement automotive hardware engine oil transmission fluid coolant brake fluid design lead demand efficient grease industrial lubrication include fluid premium lubricant demand industrial lubricant general application gear compressor arise industry refrigeration purpose addition metal working general process oil operate engineering manufacture link segment hold lead position retail increase economic activity automotive segment notable presence specialized industrial fluid supply driver lubricant manufacture blend base oil automotive lubricant segment additive blending involve advanced keen support transition electric vehicle ev formulation specific purpose lubricant work industry partner bring serf line specification generation technology diversify industry norm traditional lubricant business sale electric vehicle net base oil deficit market lead large account total new scale import base oil additive expose car sale source consider penetration lubricant business fluctuation foreign exchange car low poise grow rate supply chain disruption foresee continue demand internal combustion engine ice vehicle major industry development market growth source internal overall lubricant market economic activity remain resilient volatile operating environment transition happen underpin political uncertainty wheeler wheeler space compare inflationary headwind mobility retail wheeler explore technology recreation workplace pick commercial collaboration wheeler wheeler oem mobility gather momentum expansion exist collaboration lead wheeler oem source source']"
5,15,5_stakeholder_cyber_cyber security_governance,"['stakeholder', 'cyber', 'cyber security', 'governance', 'threat', 'datum', 'training', 'key stakeholder', 'environment', 'decision']","['process follow identify key stakeholder identify basis material influence influence corporate decision consequence decision base level interest impact prioritize stakeholder determine one important key stakeholder identify prioritize engage understand need concern develop strategy manage mitigate potential risk negative impact monitor review relationship engagement key stakeholder ensure strategy action address need concern list stakeholder identify key frequency engagement stakeholder employee employee business performance update enior leadership need basis engagement strategy new belief system wellness session wellbeing training program session onboarde session code conduct internal compliance security communication diversity inclusion growth week new skill intranet', 'range measure manage risk include use cyber security policy procedure security protection tool continuous threat monitoring event detection capability incident response plan conduct exercise test response recovery cyber attack encourage vigilance employee cyber security training awareness program cover topic phishe correct classification handling information collaborate government law enforcement industry peer understand respond new emerge threat framework policy available intranet corrective action take underway issue relate advertising delivery essential service cyber security datum privacy customer occurrence instance product recall penalty action take regulatory authority safety product service instance breach security datum customer', 'web link policy organization establish system guideline cyber security issue pertain datum privacy variety measure implement manage risk associate cyber security include application cyber security policy procedure utilization security defense tool continuous monitoring threat capacity detect event response strategy incident run drill evaluate recovery skill response tactic cyber attack cyber security education awareness initiative provide training staff subject phishe proper classification handling datum engage government law enforcement agency peer industry allow gauge respond new upcoming threat']"
6,14,6_voting_vote_click_login,"['voting', 'vote', 'click', 'login', 'remote voting', 'remote', 'demat', 'cast', 'email', 'user']","['security demat mode register facility visit services website open web browser type following url mobile home launch click icon login available new screen open enter successful authentication able voting service click access voting voting service able voting click voting service provider direct voting service provider website cast vote remote voting period join virtual voting user register service option register available portal click', 'isit voting website open web browser type following url mobile home voting system launch click icon login available new screen open enter user digit demat account number hold show screen successful authentication redirect site voting click voting service provider redirect voting service provider website cast vote remote voting period join virtual voting security demat mode login login login credential demat account register cdsl voting facility successful login able voting option click voting option redirect site successful authentication voting feature click voting service provider redirect voting service provider website cast vote remote voting period join virtual voting', 'security mode ser opt facility login exist user password option available reach voting authentication url user login visit click icon select successful login user able voting option eligible voting progress information provide click voting option user able voting voting service provider cast vote remote voting period join virtual voting link provide access system voting user visit voting service provider website user register option register available user access voting provide vote link available com home click system authenticate user send register record successful authentication user able voting option voting progress able access system voting']"
7,13,7_loss_recognise_cost_liability,"['loss', 'recognise', 'cost', 'liability', 'cash', 'lease', 'tax', 'credit', 'instrument', 'currency']","['note significant accounting policy subsequent measurement asset carry amortise cost asset measure amortise cost hold business model objective hold asset order collect contractual cash flow contractual term asset rise specify cash flow payment principal interest principal outstanding asset fair value comprehensive income asset measure hold business model objective achieve collect contractual cash flow sell asset contractual term asset rise specify cash flow payment principal interest principal outstanding hold trading instrument irrevocable election present investment make election instrument instrument basis pursuant irrevocable option change fair value recognise reclassify profit loss asset fair value profit loss asset classify category measure liability liability measure amortise cost effective interest method derivative instrument enter foreign exchange forward contract manage foreign exchange rate risk erivative recognise fair value derivative contract enter remeasure fair value end reporting period result gain loss recognise profit loss derecognition instrument asset derecognise asset contractual right cash flow asset expire transfer asset risk reward ownership asset party transfer retain risk reward ownership continue control transfer asset recognise retain interest asset associated liability amount pay retain risk reward ownership transfer asset continue recognise asset recognise collateralised borrowing proceed receive derecognition asset entirety difference asset carrying sum consideration receive receivable cumulative gain loss recognise comprehensive income accumulate recognise profit loss gain loss recognise profit loss disposal asset liability derecognise liability obligation discharge cancel expire difference carrying liability derecognise consideration pay payable recognise profit loss', 'note significant accounting policy asset apply expected credit loss model recognise impairment loss asset measure amortise cost debt instrument lease receivables trade receivables contractual right receive cash asset designate xpecte credit loss weighted average credit loss respective risk default occur weight credit loss difference contractual cash flow accordance contract cash flow expect receive cash shortfall discount original effective interest rate estimate cash flow consider contractual term instrument expected life instrument measure loss allowance instrument equal lifetime expect credit loss credit risk instrument increase initial recognition credit risk instrument increase initial recognition measure loss allowance instrument equal month expect credit loss month expect credit loss portion lifetime expect credit loss represent lifetime cash shortfall result default occur month reporting cash shortfall predict month measure loss allowance instrument lifetime expect credit loss model previous period determine end reporting period credit risk increase initial recognition improvement credit quality compare previous period measure loss allowance base month expect credit loss hen make assessment significant increase credit risk initial recognition use change risk default occur expected life instrument change expect credit loss assessment compare risk default occur instrument reporting risk default occur instrument initial recognition consider reasonable supportable information available undue cost effort indicative significant increase credit risk initial recognition trade receivable contractual right receive cash asset result transaction scope measure loss allowance equal lifetime expect credit loss purpose measure lifetime expect credit loss allowance trade receivables practical expedient permit expected credit loss allowance compute base provision matrix take account historical credit loss experience adjust look information cash equivalent ash cash equivalent balance sheet comprise cash bank hand investment overnight fund short term deposit original maturity month subject insignificant risk change value cash management policy meet short- term cash commitment park surplus fund overnight fund hold period month acquisition fund open debt fund convertible known amount cash subject insignificant risk change value purpose cash flow cash cash equivalent consist cash short term deposit define consider integral cash management', 'note significant accounting policy lease liability remeasure correspond adjustment asset occurrence certain event change lease term change index rate determine lease payment ease liability asset present lease payment classify finance cash flow inventory nventorie consist raw packing material stock trade finished good inventory value low cost net realisable value cost inventory determine weighted average basis cost manufactured finished good work progress include material cost determine weighted average basis include appropriate portion allocable overhead cost trade good include cost purchase cost incur bring inventory present location condition allowance respect slow moving non moving obsolete inventory base estimate management non asset carry asset review impairment end reporting indication impairment base internal external factor impairment loss recognise profit loss carrying asset exceed recoverable recoverable great asset cash generating unit fair value cost disposal value use assess value use estimate future cash flow discount present value pre tax discount rate reflect current market assessment time value money risk specific asset determine fair value recent market transaction take account business plan approve basis senior management primary source information determination value use initial step preparation plan assumption market condition cost inflation rate set senior management assumption account exist price macro economic factor historical trend variability mpairment loss include impairment inventory recognise profit loss revalue tangible asset revaluation take revaluation reserve case impairment recognise revaluation reserve previous revaluation fter impairment depreciation provide revised carrying asset remain useful life recognise impairment loss increase reverse depend change circumstance carrying value reversal increase carrying value prevail charge usual depreciation impairment reversal recognise profit loss rovision recognise present obligation legal constructive result past event probable outflow resource embody economic benefit require settle obligation reliable estimate obligation expense relate provision present profit loss instrument non derivative instrument initial recognition measurement asset liability recognise fair value transaction cost attributable acquisition issue asset liability fair value profit loss adjust fair value initial recognition purchase sale asset recognise trade accounting']"
8,12,8_consumer_distributor_channel_brand,"['consumer', 'distributor', 'channel', 'brand', 'product service', 'usage', 'dealer', 'recall', 'safe', 'dealer distributor']","['market serve location state union territory country include state union territory contribution export percentage total turnover significant export brief type customer product distribute distributor service customer sub distributor reach additional outlet semi urban rural market leverage distribution channel reach wide network independent workshop serve key institutional account case distributor alliance access new channel expand footprint fuel forecourt focus priority channel include commerce contribute strong topline growth business invest enable integrate service model implement well market coverage improve customer experience indirect customer', 'significant export male brief type customer serve diverse range customer product range cater business business permanent business consumer sector product distribute distributor service customer sub distributor reach additional outlet semi urban rural market leverage distribution channel reach wide network independent workshop include joint venture serve key institutional account case distributor alliance access new channel expand name associate joint venture footprint fuel forecourt indicate entity indicate focus priority channel include commerce contribute strong associate column participate hold list growth business invest enable integrate service model joint initiative implement well market coverage improve customer experience indirect customer venture list entity', 'list specific guideline ensure safe responsible usage channel platform information product service entity access provide web link available disposal instruction product include requisite disclosure packaging product undertake information share multiple channel engagement educate stakeholder detail product service offer find website responsible practice com number consumer complaint respect following step take inform educate consumer safe responsible usage product service product available website sheet detail procedure safe usage disposal product requisite disclosure include packaging product receive received resolution resolution mechanism place inform consumer risk disruption discontinuation essential service end end deal essential service event disruption discontinuation service privacy inform stakeholder website social medium platform distributor retailer network sale representative email customer reach center email address query feedback cyber security essential service entity display product information product mandate local law provide detail brief entity carry survey regard consumer satisfaction relate major product service entity significant location operation entity entity wide range product addition mandate local law space permit information detail instance product recall account safety issue benefit accrue usage product product functionality benefit elaborate product label number recall carry principal customer prompt implementation strategy enhance consumer experience recall regular evaluation conduct significant brand ascertain brand strength cognitive impact recall consumer']"
